שם קובץ,ID,נתיב,סוג (MIME),גודל (MB),תאריך יצירה,תאריך עדכון אחרון,בעלים,קישור
076 שלמה המלך ומלכות שבא.mp3,1ImYKc5_KMWbJzZ2_zGdhNUEGeaUvgRBB,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,55.357,6/17/2026 9:48:47,8/20/2020 23:02:38,yadtamar613@gmail.com,https://drive.google.com/file/d/1ImYKc5_KMWbJzZ2_zGdhNUEGeaUvgRBB/view?usp=drivesdk
077 דניאל דריוש האליל בל והתנין.mp3,1cX8BRWLAb37T_jMq_2qDGyDWtPzIambA,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,42.929,6/17/2026 9:48:53,8/20/2020 23:02:40,yadtamar613@gmail.com,https://drive.google.com/file/d/1cX8BRWLAb37T_jMq_2qDGyDWtPzIambA/view?usp=drivesdk
"078 הלני המלכה , איזטיס וברית המילה.mp3",1LZys9as1T7g-J8OZ2QLLEIKGM_mYAbo2,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,55.111,6/17/2026 9:48:59,8/20/2020 23:02:44,yadtamar613@gmail.com,https://drive.google.com/file/d/1LZys9as1T7g-J8OZ2QLLEIKGM_mYAbo2/view?usp=drivesdk
079 שמעון בן שטח והמכשפות באשקלון.mp3,1gbGI0BJSkS1dWtJ55qR5an6dlLcat3kk,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,37.199,6/17/2026 9:49:04,8/20/2020 23:02:48,yadtamar613@gmail.com,https://drive.google.com/file/d/1gbGI0BJSkS1dWtJ55qR5an6dlLcat3kk/view?usp=drivesdk
080 כח קדושת אמן.mp3,1KnyRoQe_PwaROoeQ9z6-zZvnDadq_dMh,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,39.078,6/17/2026 9:49:09,8/20/2020 23:02:50,yadtamar613@gmail.com,https://drive.google.com/file/d/1KnyRoQe_PwaROoeQ9z6-zZvnDadq_dMh/view?usp=drivesdk
081 משה רבנו מלך כוש.mp3,14GLkFm_RSLFjrvbe1ZTRzaIKYlcHR2Wr,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,51.47,6/17/2026 9:49:15,8/20/2020 23:02:54,yadtamar613@gmail.com,https://drive.google.com/file/d/14GLkFm_RSLFjrvbe1ZTRzaIKYlcHR2Wr/view?usp=drivesdk
082 - מעגל השנה אלול א' - ר' מאיר ואלישע בן אבויה.mp3,1ed6e0W7kfDBOtwnhVQ3AuKt6CUFx5GTb,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,41.075,6/17/2026 9:38:20,8/21/2020 10:31:20,yadtamar613@gmail.com,https://drive.google.com/file/d/1ed6e0W7kfDBOtwnhVQ3AuKt6CUFx5GTb/view?usp=drivesdk
083 - מעגל השנה אלול ב' - התשובה.mp3,1dagyFm1gNVzYdQneOqrmKjRwZwkk-KHX,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,37.753,6/17/2026 9:38:25,8/21/2020 10:31:32,yadtamar613@gmail.com,https://drive.google.com/file/d/1dagyFm1gNVzYdQneOqrmKjRwZwkk-KHX/view?usp=drivesdk
084 - מעגל השנה ראש השנה א' - עקידת יצחק.mp3,14qFMf8W1yspXGqq4XtJ57gjozWIogFzW,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,41.004,6/17/2026 9:38:30,8/21/2020 10:31:50,yadtamar613@gmail.com,https://drive.google.com/file/d/14qFMf8W1yspXGqq4XtJ57gjozWIogFzW/view?usp=drivesdk
085 - מעגל השנה ראש השנה ב' - מלכות ושופר.mp3,1u4gyNXmbaf83jog3h3aBo8SREK17qP6y,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,36.373,6/17/2026 9:38:35,8/21/2020 10:32:08,yadtamar613@gmail.com,https://drive.google.com/file/d/1u4gyNXmbaf83jog3h3aBo8SREK17qP6y/view?usp=drivesdk
086 - מעגל השנה יום הכפורים א' - יום המחילה.mp3,1k2rLDoHzxgd8V-2nBYFnsRxZVFnjMZ0_,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,40.966,6/17/2026 9:38:40,8/21/2020 10:27:56,yadtamar613@gmail.com,https://drive.google.com/file/d/1k2rLDoHzxgd8V-2nBYFnsRxZVFnjMZ0_/view?usp=drivesdk
087 - מעגל השנה יום הכפורים ב' - עבודת הכהן הגדול.mp3,1jltt7lF9fX3O5MHjP8zb_o5b80X1k2MJ,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,40.135,6/17/2026 9:38:46,8/21/2020 10:27:58,yadtamar613@gmail.com,https://drive.google.com/file/d/1jltt7lF9fX3O5MHjP8zb_o5b80X1k2MJ/view?usp=drivesdk
088 - מעגל השנה חנוכה א' - יון וגזירות השמד.mp3,1uGONn6hllSXKFRUf7m0L19zaZ2bE1_p-,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,40.726,6/17/2026 9:38:51,8/21/2020 10:28:02,yadtamar613@gmail.com,https://drive.google.com/file/d/1uGONn6hllSXKFRUf7m0L19zaZ2bE1_p-/view?usp=drivesdk
089 - מעגל השנה חנוכה ב' - מרד החשמונאים.mp3,1mTtQ4VKnyvQPXxNZkqOvAUZsIojz7H7F,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,40.636,6/17/2026 9:38:56,8/21/2020 10:28:06,yadtamar613@gmail.com,https://drive.google.com/file/d/1mTtQ4VKnyvQPXxNZkqOvAUZsIojz7H7F/view?usp=drivesdk
090 - מעגל השנה חנוכה ג' - ניסי המלחמה ופך השמן.mp3,1VP8xKpQep4OMo5SU_uGpjCI8JGDrHiQ1,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,40.486,6/17/2026 9:39:01,8/21/2020 10:28:08,yadtamar613@gmail.com,https://drive.google.com/file/d/1VP8xKpQep4OMo5SU_uGpjCI8JGDrHiQ1/view?usp=drivesdk
091 - מעגל השנה חנוכה ד' - על הניסים ועל הפורקן.mp3,1dExzWE4rQ-XvHXlQbTLW9CMmyuaDDJ0A,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,36.398,6/17/2026 9:39:06,8/21/2020 10:28:10,yadtamar613@gmail.com,https://drive.google.com/file/d/1dExzWE4rQ-XvHXlQbTLW9CMmyuaDDJ0A/view?usp=drivesdk
092 - מעגל השנה פורים א' - סעודת אחשורוש.mp3,18aZ6cC4xmRskLHAv5Xfqg3L3obCI2-RT,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,42.082,6/17/2026 9:39:11,8/21/2020 10:28:14,yadtamar613@gmail.com,https://drive.google.com/file/d/18aZ6cC4xmRskLHAv5Xfqg3L3obCI2-RT/view?usp=drivesdk
093 - מעגל השנה פורים ב' - המן והגזירה.mp3,1GF3NYMULOQlkT8MAovdJ1zraYpNICaPm,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,41.887,6/17/2026 9:39:17,8/21/2020 10:28:18,yadtamar613@gmail.com,https://drive.google.com/file/d/1GF3NYMULOQlkT8MAovdJ1zraYpNICaPm/view?usp=drivesdk
094 - מעגל השנה פורים ג' - מפלת המן.mp3,1MAzQckcyUnnWfEKA25MutCszC3a_CT7p,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,42.444,6/17/2026 9:39:22,8/21/2020 10:28:22,yadtamar613@gmail.com,https://drive.google.com/file/d/1MAzQckcyUnnWfEKA25MutCszC3a_CT7p/view?usp=drivesdk
095 - מעגל השנה פורים ד' - הישועה - גדולת מרדכי.mp3,1L0SwqRUBRaHa65dzPjFG_jXsuJ0sBGpm,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,33.669,6/17/2026 9:39:27,8/21/2020 10:28:24,yadtamar613@gmail.com,https://drive.google.com/file/d/1L0SwqRUBRaHa65dzPjFG_jXsuJ0sBGpm/view?usp=drivesdk
096 - מעגל השנה פסח א' - השעבוד.mp3,1AwxbRtEXu4vYqgQKCr2NK77QkLRsIf75,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,38.947,6/17/2026 9:39:32,8/21/2020 10:28:28,yadtamar613@gmail.com,https://drive.google.com/file/d/1AwxbRtEXu4vYqgQKCr2NK77QkLRsIf75/view?usp=drivesdk
097 - מעגל השנה פסח ב' - המכות.mp3,1HEkzKqRK_FsoB1HpYEwdLZbP1GuwvdxG,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,42.348,6/17/2026 9:39:38,8/21/2020 10:28:38,yadtamar613@gmail.com,https://drive.google.com/file/d/1HEkzKqRK_FsoB1HpYEwdLZbP1GuwvdxG/view?usp=drivesdk
098 - מעגל השנה פסח ג' - יציאת מצרים.mp3,1M5fg1USnTV9WUg8QETb_7TqMZvkzRJAt,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,42.46,6/17/2026 9:39:43,8/21/2020 10:28:48,yadtamar613@gmail.com,https://drive.google.com/file/d/1M5fg1USnTV9WUg8QETb_7TqMZvkzRJAt/view?usp=drivesdk
099 - מעגל השנה פסח ד' - קריעת ים סוף.mp3,1jHpeXmBKmslpjEfvV4oxe1HnZYwcz5wx,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,30.581,6/17/2026 9:39:48,8/21/2020 10:28:56,yadtamar613@gmail.com,https://drive.google.com/file/d/1jHpeXmBKmslpjEfvV4oxe1HnZYwcz5wx/view?usp=drivesdk
100 - מעגל השנה שבועות א' - הכנה למתן תורה.mp3,1gaj3KZBsfjgCy6WUTd-KTA26eGfoHls8,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,41.979,6/17/2026 9:39:53,8/21/2020 10:29:04,yadtamar613@gmail.com,https://drive.google.com/file/d/1gaj3KZBsfjgCy6WUTd-KTA26eGfoHls8/view?usp=drivesdk
101 - מעגל השנה שבועות ב' - מתן תורה.mp3,1D5xhXCVXGLz-s-nOJ1-PuWq9HdfhjEye,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,37.293,6/17/2026 9:39:58,8/21/2020 10:29:14,yadtamar613@gmail.com,https://drive.google.com/file/d/1D5xhXCVXGLz-s-nOJ1-PuWq9HdfhjEye/view?usp=drivesdk
102 - מעגל השנה מגילת רות א' - שדי מואב.mp3,1umDtbWMYf896LSJSJyUUDGCkHus7_oe2,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,41.972,6/17/2026 9:40:03,8/21/2020 10:29:24,yadtamar613@gmail.com,https://drive.google.com/file/d/1umDtbWMYf896LSJSJyUUDGCkHus7_oe2/view?usp=drivesdk
103 - מעגל השנה מגילת רות ב' - הנסיונות.mp3,14SvVmVZES42ccaJOfcX4Uxx6iTAeYrBS,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,40.999,6/17/2026 9:40:09,8/21/2020 10:29:32,yadtamar613@gmail.com,https://drive.google.com/file/d/14SvVmVZES42ccaJOfcX4Uxx6iTAeYrBS/view?usp=drivesdk
104 - מעגל השנה מגילת רות ג' - אמה של מלכות.mp3,1wTRbB5co-pTPpTEa_qaKK8Os_kJfPIkx,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,34.096,6/17/2026 9:40:13,8/21/2020 10:29:42,yadtamar613@gmail.com,https://drive.google.com/file/d/1wTRbB5co-pTPpTEa_qaKK8Os_kJfPIkx/view?usp=drivesdk
105 - מעגל השנה אב א' - בית המקדש השני.mp3,1KqQVOyiezsshXeJMnL4CEoZWH7Juj9T8,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,40.665,6/17/2026 9:40:20,8/21/2020 10:29:48,yadtamar613@gmail.com,https://drive.google.com/file/d/1KqQVOyiezsshXeJMnL4CEoZWH7Juj9T8/view?usp=drivesdk
106 - מעגל השנה אב ב' - חורבן בית השני - הגאולה.mp3,1wYShxFAy6d0Asj-I9D4AU8Vjx28rzIuG,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,40.667,6/17/2026 9:40:25,8/21/2020 10:29:58,yadtamar613@gmail.com,https://drive.google.com/file/d/1wYShxFAy6d0Asj-I9D4AU8Vjx28rzIuG/view?usp=drivesdk
107 - מעגל השנה אב ג' - בר כוכבא ונפילת ביתר.mp3,1pymuc-kxDN_3qj5kLHUZQ4u_f0gZMVp8,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,38.331,6/17/2026 9:40:31,8/21/2020 10:30:06,yadtamar613@gmail.com,https://drive.google.com/file/d/1pymuc-kxDN_3qj5kLHUZQ4u_f0gZMVp8/view?usp=drivesdk
108 - מעגל השנה אב ד' - בית המקדש הראשון.mp3,1DjBZ8DCsIF7zHoM2gzpM8W8ODiNZgNB1,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,37.378,6/17/2026 9:40:36,8/21/2020 10:30:14,yadtamar613@gmail.com,https://drive.google.com/file/d/1DjBZ8DCsIF7zHoM2gzpM8W8ODiNZgNB1/view?usp=drivesdk
109 - מעגל השנה אב ה' - חורבן בית ראשון - הנחמה.mp3,1NwPZIACExKT5VOAUqcaHTxbrwr8TNYI3,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,36.224,6/17/2026 9:40:40,8/21/2020 10:30:22,yadtamar613@gmail.com,https://drive.google.com/file/d/1NwPZIACExKT5VOAUqcaHTxbrwr8TNYI3/view?usp=drivesdk
110 - מעגל השנה ר' עקיבא א' - עין טובה.mp3,1L163uixgoY6Go4hyxkTyxBO4Jij4TjTh,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,41.867,6/17/2026 9:40:46,8/21/2020 10:30:30,yadtamar613@gmail.com,https://drive.google.com/file/d/1L163uixgoY6Go4hyxkTyxBO4Jij4TjTh/view?usp=drivesdk
111 - מעגל השנה ר' עקיבא ב' תורתו ועושרו.mp3,1EvRHD4OCTQhMCH9wa5YPyLFYuQp_ESTg,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,41.829,6/17/2026 9:40:51,8/21/2020 10:30:40,yadtamar613@gmail.com,https://drive.google.com/file/d/1EvRHD4OCTQhMCH9wa5YPyLFYuQp_ESTg/view?usp=drivesdk
112 - מעגל השנה ר' עקיבא ג' - איש שהכל בו.mp3,1ptfj9lE0jN3WHrH4F1YleDkRyFtPCGNK,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,41.157,6/17/2026 9:40:57,8/21/2020 10:30:50,yadtamar613@gmail.com,https://drive.google.com/file/d/1ptfj9lE0jN3WHrH4F1YleDkRyFtPCGNK/view?usp=drivesdk
113 - מעגל השנה ר' עקיבא ד' - המופת לדורות.mp3,1ccxDI21N3-oVv5JTzdCDv7Fxk5YKH0hr,סט ילדים/082 - 113  מעגל השנה,audio/mpeg,39.058,6/17/2026 9:41:02,8/21/2020 10:31:04,yadtamar613@gmail.com,https://drive.google.com/file/d/1ccxDI21N3-oVv5JTzdCDv7Fxk5YKH0hr/view?usp=drivesdk
114 - פרשת נח א' - נח והמבול.mp3,1UwxHt2WFIaXNUGeGvA1JKs_48FGn9Trb,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,56.861,6/17/2026 9:31:20,8/21/2020 10:34:28,yadtamar613@gmail.com,https://drive.google.com/file/d/1UwxHt2WFIaXNUGeGvA1JKs_48FGn9Trb/view?usp=drivesdk
115 - פרשת נח ב' - החיים בתיבה.mp3,1k43hwEbKsFQFBjflzX70fqgzEq1qg4tl,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,54.386,6/17/2026 9:31:27,8/21/2020 10:34:50,yadtamar613@gmail.com,https://drive.google.com/file/d/1k43hwEbKsFQFBjflzX70fqgzEq1qg4tl/view?usp=drivesdk
116 - פרשת נח ג' - נמרוד ודור הפלגה.mp3,12u3tP3460_uu6ixhJNPvjwsYdsVPZqdI,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,36.782,6/17/2026 9:31:32,8/21/2020 10:35:04,yadtamar613@gmail.com,https://drive.google.com/file/d/12u3tP3460_uu6ixhJNPvjwsYdsVPZqdI/view?usp=drivesdk
117 - פרשת לך לך א' - אברהם אבינו בכבשן האש.mp3,1MinS2Z9PPTHlx6vDflLsplVl4ogdluYX,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.38,6/17/2026 9:31:38,8/21/2020 10:35:24,yadtamar613@gmail.com,https://drive.google.com/file/d/1MinS2Z9PPTHlx6vDflLsplVl4ogdluYX/view?usp=drivesdk
118 - פרשת לך לך ב' - אברהם ושרה במצרים.mp3,1y1N1AHJNNr0hAB1RIWcT5IHUToX8G8S1,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.234,6/17/2026 9:31:45,8/21/2020 10:35:40,yadtamar613@gmail.com,https://drive.google.com/file/d/1y1N1AHJNNr0hAB1RIWcT5IHUToX8G8S1/view?usp=drivesdk
119 - פרשת לך לך ג' - מלחמת המלכים - הגר - ברית המילה.mp3,1_FijNYvAJ7sgnhkTdg-XLxldlvPAqSMI,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,56.92,6/17/2026 9:31:52,8/21/2020 10:35:52,yadtamar613@gmail.com,https://drive.google.com/file/d/1_FijNYvAJ7sgnhkTdg-XLxldlvPAqSMI/view?usp=drivesdk
120 - פרשת וירא א' - בית החסד - חטאת סדום.mp3,1VzqH3DkECqLoH2gSHnO29gfMjk23AgMy,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,61.17,6/17/2026 9:31:58,8/21/2020 10:36:02,yadtamar613@gmail.com,https://drive.google.com/file/d/1VzqH3DkECqLoH2gSHnO29gfMjk23AgMy/view?usp=drivesdk
121 - פרשת וירא ב' - הפיכת סדום - לידת יצחק.mp3,1WlpU3a76XoY3dDIsbzhc96mXGwVUcdWg,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.493,6/17/2026 9:32:05,8/21/2020 10:28:36,yadtamar613@gmail.com,https://drive.google.com/file/d/1WlpU3a76XoY3dDIsbzhc96mXGwVUcdWg/view?usp=drivesdk
122 - פרשת וירא ג' - הגר וישמעאל - אברהם ואבימלך.mp3,1a4EHAGbISVHF9Jz5h75KFz_4c4uj5zeC,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,54.086,6/17/2026 9:32:11,8/21/2020 10:28:48,yadtamar613@gmail.com,https://drive.google.com/file/d/1a4EHAGbISVHF9Jz5h75KFz_4c4uj5zeC/view?usp=drivesdk
123 - פרשת חיי שרה א' - פטירת שרה אמנו.mp3,1H8Fq31Kt-I2YsqAD6_xw9WRRD_AMAljf,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.598,6/17/2026 9:32:18,8/21/2020 10:29:02,yadtamar613@gmail.com,https://drive.google.com/file/d/1H8Fq31Kt-I2YsqAD6_xw9WRRD_AMAljf/view?usp=drivesdk
124 - פרשת חיי שרה ב' - רבקה אמנו.mp3,1Qb8euX_9X9Yp6gZs_2BOWqW5LYBSBfo3,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,56.514,6/17/2026 9:32:24,8/21/2020 10:29:16,yadtamar613@gmail.com,https://drive.google.com/file/d/1Qb8euX_9X9Yp6gZs_2BOWqW5LYBSBfo3/view?usp=drivesdk
125 - פרשת תולדות א'  - נעורי יעקב ועשיו.mp3,1cxz0uJtIcOnH6kY7WNSPGOI0Ju2UKwHn,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.293,6/17/2026 9:32:31,8/21/2020 10:29:28,yadtamar613@gmail.com,https://drive.google.com/file/d/1cxz0uJtIcOnH6kY7WNSPGOI0Ju2UKwHn/view?usp=drivesdk
126 - פרשת תולדות ב' - יצחק בגרר.mp3,1Ktp08S_k9sbapkwLRmUKXvu9VlFE3MJi,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.262,6/17/2026 9:32:38,8/21/2020 10:29:42,yadtamar613@gmail.com,https://drive.google.com/file/d/1Ktp08S_k9sbapkwLRmUKXvu9VlFE3MJi/view?usp=drivesdk
127 - פרשת תולדות ג' - הברכות.mp3,1FstVpS28z6n3LOxY-BFEx8i2kf3cO-D-,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,55.6,6/17/2026 9:32:44,8/21/2020 10:29:52,yadtamar613@gmail.com,https://drive.google.com/file/d/1FstVpS28z6n3LOxY-BFEx8i2kf3cO-D-/view?usp=drivesdk
128 - פרשת ויצא א' - יעקב יוצא לגולה.mp3,1JPCXp1Mc18mPWBy95I4xFKvzyC7vhovm,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.431,6/17/2026 9:32:51,8/21/2020 10:30:06,yadtamar613@gmail.com,https://drive.google.com/file/d/1JPCXp1Mc18mPWBy95I4xFKvzyC7vhovm/view?usp=drivesdk
129 - פרשת ויצא ב' - האמהות והשבטים הקדושים.mp3,1HPyQJAWm3_EIqKcpInTkFhod97WztSwB,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.363,6/17/2026 9:32:58,8/21/2020 10:30:18,yadtamar613@gmail.com,https://drive.google.com/file/d/1HPyQJAWm3_EIqKcpInTkFhod97WztSwB/view?usp=drivesdk
130 - פרשת ויצא ג' - לבן אויב בניו.mp3,11XqeTQFyJBGTa1BTnJRcTizTjKs2QCZ9,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,47.712,6/17/2026 9:33:03,8/21/2020 10:30:30,yadtamar613@gmail.com,https://drive.google.com/file/d/11XqeTQFyJBGTa1BTnJRcTizTjKs2QCZ9/view?usp=drivesdk
131 - פרשת וישלח א' - הכנות לפגישה עם עשיו - המאבק עם המלאך.mp3,1Z6rXZoma_XzdsTjCLizXkoGD8hQCL2Nv,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.41,6/17/2026 9:33:10,8/21/2020 10:30:42,yadtamar613@gmail.com,https://drive.google.com/file/d/1Z6rXZoma_XzdsTjCLizXkoGD8hQCL2Nv/view?usp=drivesdk
132 - פרשת וישלח ב' - הפגישה - שכם - פטירת רחל אמנו.mp3,1kmEV8zX1szK3hBq2vYUKRl6CyINnQRxU,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.699,6/17/2026 9:33:17,8/21/2020 10:30:56,yadtamar613@gmail.com,https://drive.google.com/file/d/1kmEV8zX1szK3hBq2vYUKRl6CyINnQRxU/view?usp=drivesdk
133 - פרשת וישב א'- המכירה.mp3,1o27_BPF7QeO45ZMzYwH9SJ1kiy-1dUus,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,56.843,6/17/2026 9:33:24,8/21/2020 10:31:18,yadtamar613@gmail.com,https://drive.google.com/file/d/1o27_BPF7QeO45ZMzYwH9SJ1kiy-1dUus/view?usp=drivesdk
134 - פרשת וישב ב' - יוסף במצרים.mp3,1I25y9LsPAw_9c3tW2AFzt4Els437m1_U,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.808,6/17/2026 9:33:30,8/21/2020 10:31:38,yadtamar613@gmail.com,https://drive.google.com/file/d/1I25y9LsPAw_9c3tW2AFzt4Els437m1_U/view?usp=drivesdk
135 - פרשת מקץ א' - יוסף עולה לגדולה.mp3,1C2yigwVsx1jo-LNd4H-37TakD8ZenKdF,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.351,6/17/2026 9:33:37,8/21/2020 10:32:04,yadtamar613@gmail.com,https://drive.google.com/file/d/1C2yigwVsx1jo-LNd4H-37TakD8ZenKdF/view?usp=drivesdk
136 - פרשת מקץ ב' - האחים במצרים.mp3,1EshbMEnT5zsZTsYOa2xhUKZudHqpVns6,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.424,6/17/2026 9:33:44,8/21/2020 10:32:28,yadtamar613@gmail.com,https://drive.google.com/file/d/1EshbMEnT5zsZTsYOa2xhUKZudHqpVns6/view?usp=drivesdk
137 - פרשת מקץ ג' - עלילת הגביע.mp3,1zlUT_hDh_RNZE1LRORM07IKh-YcShTz0,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,37.911,6/17/2026 9:33:49,8/21/2020 10:32:42,yadtamar613@gmail.com,https://drive.google.com/file/d/1zlUT_hDh_RNZE1LRORM07IKh-YcShTz0/view?usp=drivesdk
138 - פרשת ויגש א'  - התגלות יוסף.mp3,130qONknTtN6fy3mqKnLLI4mRiePdcxqx,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.51,6/17/2026 9:33:55,8/21/2020 10:33:02,yadtamar613@gmail.com,https://drive.google.com/file/d/130qONknTtN6fy3mqKnLLI4mRiePdcxqx/view?usp=drivesdk
139 - פרשת ויגש ב' - ירידת יעקב למצרים.mp3,152kj7R0_PhCF6ZdzGanSMCwMStfLbLML,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.198,6/17/2026 9:34:02,8/21/2020 10:33:22,yadtamar613@gmail.com,https://drive.google.com/file/d/152kj7R0_PhCF6ZdzGanSMCwMStfLbLML/view?usp=drivesdk
140 - פרשת ויחי א' - הברכות.mp3,1SQHW0SZhy9aP5Q6SAHuXihR029HjrH0F,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,57.848,6/17/2026 9:34:09,8/21/2020 10:33:42,yadtamar613@gmail.com,https://drive.google.com/file/d/1SQHW0SZhy9aP5Q6SAHuXihR029HjrH0F/view?usp=drivesdk
141 - פרשת ויחי ב' - פטירת יעקב.mp3,1W426yeqYY2Iiz6c3rjlqbcdUXn8T7YbT,סט ילדים/114 - 141  ספר בראשית,audio/mpeg,40.513,6/17/2026 9:34:14,8/21/2020 10:34:00,yadtamar613@gmail.com,https://drive.google.com/file/d/1W426yeqYY2Iiz6c3rjlqbcdUXn8T7YbT/view?usp=drivesdk
142 - פרשת שמות א' - מצרים כור הברזל.mp3,1eISqrqRaiehIn-tgC21mwmaCVDWJb7jB,סט ילדים/142 - 154  ספר שמות,audio/mpeg,57.157,6/17/2026 9:29:56,8/21/2020 10:31:08,yadtamar613@gmail.com,https://drive.google.com/file/d/1eISqrqRaiehIn-tgC21mwmaCVDWJb7jB/view?usp=drivesdk
143 - ‏‏פרשת שמות ב' - גואל בא לעולם.mp3,1rHUKBrVDimZS2hDkBbe54_AMbmN1TsO2,סט ילדים/142 - 154  ספר שמות,audio/mpeg,57.178,6/17/2026 9:30:02,8/21/2020 10:31:28,yadtamar613@gmail.com,https://drive.google.com/file/d/1rHUKBrVDimZS2hDkBbe54_AMbmN1TsO2/view?usp=drivesdk
144 - פרשת שמות ג' - משה במדין - אש הסנה בסיני.mp3,15DsqwivlxtnDLQiQ4WBaKgNVytvE91-C,סט ילדים/142 - 154  ספר שמות,audio/mpeg,57.461,6/17/2026 9:30:09,8/21/2020 10:31:52,yadtamar613@gmail.com,https://drive.google.com/file/d/15DsqwivlxtnDLQiQ4WBaKgNVytvE91-C/view?usp=drivesdk
145 - פרשת שמות ד' - משה ואהרון בארמון פרעה.mp3,1PqC7XbBCe6hQqwihHCOlMcCbhJVo0Amb,סט ילדים/142 - 154  ספר שמות,audio/mpeg,54.476,6/17/2026 9:30:15,8/21/2020 10:32:16,yadtamar613@gmail.com,https://drive.google.com/file/d/1PqC7XbBCe6hQqwihHCOlMcCbhJVo0Amb/view?usp=drivesdk
146 - פרשת וארא א' - הטבע בשרות האדם - מכת דם.mp3,1wUfST0K42f2AUtv5FwbrfF0eUJXYjxvR,סט ילדים/142 - 154  ספר שמות,audio/mpeg,56.927,6/17/2026 9:30:22,8/21/2020 10:32:38,yadtamar613@gmail.com,https://drive.google.com/file/d/1wUfST0K42f2AUtv5FwbrfF0eUJXYjxvR/view?usp=drivesdk
"147 - פרשת וארא ב' - מכות צפרדע, כינים וערוב.mp3",12CztR1SsZovbh94qb-VoMVeFkSiKP7Op,סט ילדים/142 - 154  ספר שמות,audio/mpeg,56.846,6/17/2026 9:30:29,8/21/2020 10:32:56,yadtamar613@gmail.com,https://drive.google.com/file/d/12CztR1SsZovbh94qb-VoMVeFkSiKP7Op/view?usp=drivesdk
